TBATS,STFL,TEST,TBATS_UPPER_95%,STFL_UPPER_95%
16013.7115140282,14891.2490302909,15461.416666666699,16801.4919236821,15196.3550107826
15999.0660703134,14944.1024397306,15318.958333333301,17079.0604738978,15323.7717713688
15995.6991355348,14696.875049114,15619.75,17249.4130863471,15138.6984792775
15925.1929299305,14405.8245448309,15513.708333333301,17265.9186888833,14902.0775906616
15445.1959295169,13841.0021626867,14941.791666666699,16807.4816759358,14386.2784482072
14282.0672163751,13283.5540167916,13618.416666666699,15649.327186016,13873.7958058966
15603.2583072795,14321.398010903,14838.916666666699,16970.627717725,14953.4142382743
16002.79804518,14337.1179108005,15263.041666666699,17370.8127104816,15008.313600384
16029.7304650852,14542.9783317825,15108.041666666699,17399.5354065472,15251.1893143083
16044.1617568048,14452.2604863917,15144.458333333301,17414.4146221667,15195.6459434899
15954.2611154813,13584.8691364958,15044.083333333301,17324.6437588977,14361.8382992557
15441.9692157066,13760.5812171256,14540.541666666699,16812.5263484213,14569.7414125966
14225.3114280523,13006.550912458,12936.583333333301,15596.3629772985,13846.6695731182
15494.3996243907,14191.9444160149,14139.958333333301,16866.721822398,15061.9205685871
15837.1867832801,14329.7917879815,14836.25,17210.8329643544,15228.6341813404
15816.4178814586,14297.9293486229,14746.833333333301,17191.6350989589,15224.7393562048
15785.7222932254,14314.2664797873,14703,17162.2051763241,15268.2245146131
15659.9324279788,13857.6738631606,14747.375,17037.6153272083,14838.0284287457
15114.931772406,13514.8276440002,14470.208333333301,16493.544062111,14520.8863979099
13871.9707587012,12928.3433530578,13308,15251.4571797503,13959.4657310388
15116.7318114202,13940.1797576453,14115.458333333301,16496.9645332723,14995.7708245022
15439.2674430946,13893.3122857256,13568.5,16820.2576957405,14972.8175624533
15399.7149491406,14783.8595986321,14746.083333333301,16781.4301626021,15886.7606751288
15353.4516679089,14443.7520523336,14684.541666666699,16735.9368943085,15569.5628386526
15213.968607087,14137.0373814476,14370.25,16597.2261913956,15285.3008828475
14658.5504366,13394.1677952824,13840.208333333301,16042.6227001434,14564.4533205719
13407.7197189331,12598.4464120762,12469.458333333301,14792.6102006232,13790.3471431595
14648.1094824532,14118.5316867898,13666.541666666699,16033.8421737402,15331.6625514584
14969.2552035871,14793.1347245632,13920.125,16355.8253007184,16027.1305255554
14931.8199692281,14898.1287282245,13662.666666666699,16319.2375152757,16152.6424901742
14890.7279011132,14677.9327004815,13698.083333333301,16278.9845521372,15952.6342031777
14759.6919074111,14569.2564877647,13778.458333333301,16148.7896006014,15863.8309595626
14215.5877756193,14248.2866991491,13434.791666666699,15605.5192303099,15562.4336487273
12978.9794003279,13226.0330022105,12145.125,14369.7453810218,14559.4651703917
14236.1399897425,14360.5365037146,13494.541666666699,15627.7364100975,15712.9789199362
14576.5447558164,14796.1395966595,13771.666666666699,15968.9729968982,16167.3287270314
14560.5378730894,14738.3324334673,13890.375,15953.7977039816,16128.0154092948
14542.919158705,14660.6532101767,14016,15937.0126740963,16068.5871274327
14437.1064729022,14161.0049106204,13924.666666666699,15832.0329350229,15586.9561921916
13919.8044475681,13681.9801483486,13578.833333333301,15315.5650559988,15125.7239620044
12711.2922904035,12927.6481945902,12228.916666666699,14107.8860401534,14388.9679205654
13997.6380500205,14336.6298772295,13523.541666666699,15395.0652809853,15815.3166201128
14368.0381833075,14898.640750621,13940.5,15766.2976249565,16394.4928909188
14382.6117643987,15147.7483248886,13909.375,15781.7045915989,16660.5711062111
14395.8888175453,14645.2724187381,14012.291666666699,15795.8142147249,16174.8775670504
14321.0567228266,14154.8604722719,13923.041666666699,15721.8140689384,15701.0658440768
13834.5657869895,13917.5969803738,13541.416666666699,15236.1539455465,15480.2262370604
12656.4724303675,12616.6394854764,11964.541666666699,14058.8903039147,14195.5217913839
13972.612834008,14152.951346443,13638.958333333301,15375.8592410109,15747.921088464
14371.9789721275,14852.3546857019,13899.333333333301,15776.0526563514,16463.2512124898
14414.4866898278,15113.0208588357,14069.708333333301,15819.3879114656,16739.6882378878
14454.4880481502,14977.1350752623,14027.166666666699,15860.2160535504,16619.4218663335
14405.0009295129,14484.6006382058,14016.041666666699,15811.5545231304,16142.3596816684
13942.3304138693,14153.7881082816,13745.541666666699,15349.7084813137,15826.876327186
12786.401135753,13310.157116053,12463.5,14194.6021673791,14998.435330771
14122.9412699209,14560.1222556286,13699.25,15531.9640525874,16263.4550100681
14540.8514837063,15059.2583062831,14075.541666666699,15950.6944555231,16777.5137047617
14599.9796426553,15162.2949653559,14173.583333333301,16010.6430119942,16895.3445193086
14654.6283609071,15039.3497223684,14131.416666666699,16066.1111711018,16787.0682061382
14617.788661518,14644.1333760697,13972.458333333301,16030.0897098917,16406.3986911018
14165.7578948654,14569.0144273548,13741.166666666699,15578.8759768035,16345.7074741753
13018.4743324373,13685.5190994999,12422,14432.407992857,15476.5236569131
14361.6984342341,15051.1398840092,13811.166666666699,15776.4464722806,16856.3424950005
14784.3827353972,15334.7462214464,14047.458333333301,16199.9437063378,17154.0360853177
14846.4442100819,15263.6969632123,14036.375,16262.8184096054,17096.96583352
14902.271816324,14782.9253839927,14198.583333333301,16319.4584552669,16630.0674718934
14864.9579818239,14777.937694541,14450.875,16282.9560191259,16638.8495771806
14410.915840587,14651.1025013014,14084.416666666699,15829.7242840865,16525.6830349153
13260.2117107205,13881.9176101261,12822.666666666699,14679.8293172496,15770.0678475434
14598.745203396,15156.4729650145,14464.958333333301,16019.171017594,17058.0960772829
15015.6170096112,15745.7370670651,14730.75,16436.8498336168,17660.7382689364
15070.8997876066,16011.0216033358,14766.416666666699,16492.940177689,17939.3080823692
15119.1436252239,15792.7469955499,14817.083333333301,16541.9910586555,17734.2278446128
15073.6058633172,15470.9081963402,14446,16497.259580756,17425.4943492976
14610.8662964192,15132.2104911916,14056.416666666699,16035.3255847303,17099.8146615946
13451.1579159193,14337.2409059669,12711.583333333301,14876.4218181231,16317.7775285625
14780.5450751715,15436.6333336457,14349.583333333301,16206.6129151931,17430.0185085422
15188.2895686339,15992.3261802241,14767.875,16615.1604282293,17998.4776195607
15234.619720821,16120.226175281,14638.791666666699,16662.2944194579,18139.0631522573
15274.2342543769,16124.5426366957,14658.791666666699,16702.7125311632,18155.9859368303
15220.5305147332,15482.7892159421,14717.208333333301,16649.8118612059,17526.7610904346
14750.2182634352,14932.35249714,14303.833333333301,16180.3022064595,16988.7766182229
13583.6490726402,14079.9207043427,12999.708333333301,15014.5348814276,16148.7221225136
14906.9933302406,15419.4823685591,14840.833333333301,16338.6805397546,17500.5874715947
15309.6052630602,15934.4381689734,15352.25,16742.0931500929,18027.7746426287
15351.7911597094,16195.2574077624,15220.625,16785.080716464,18300.7541980688
15388.3125077075,15947.6325837836,15251.5,16822.4036315177,18065.2198608623
15332.6136779672,15654.294799519,15145.333333333301,16767.5060014356,17783.9039228325
14861.4353321764,15246.1859376992,14635,16297.1285041154,17387.7494226687
13695.1436202234,14247.3203573978,13252.916666666699,15131.6370139316,16400.7718433175
15019.9071510977,15644.6735786138,14926.291666666699,16457.2003857713,17809.9477977981
15425.0621644448,16178.227718944,15324.166666666699,16863.1545833526,18355.2604670485
15470.8810640106,16309.2689684195,15365.958333333301,16909.7737024975,18497.9970758769
15512.0760364988,16094.9935865513,15434.958333333301,16951.7688205153,18295.3548910713
15462.0273712564,16033.0079465399,15537.625,16902.5199455406,18244.9412666207
14997.3976572676,15900.2607855766,15013.5,16438.6896664107,18123.7058949819
13838.4619078412,14978.5460875641,13611.75,15280.5527061588,17213.4436907203
15171.2855914627,16389.5457724495,15256.833333333301,16614.1747640195,18635.8374807207
15585.0909792339,16855.4206590528,15588.708333333301,17028.7778225036,19113.0489678545
15640.0269608565,16880.3400865888,15638.333333333301,17084.5124462122,19149.2483533016
15690.6740355809,16569.9515560156,15501.708333333301,17135.9580170649,18850.083978664
15650.2740812269,16028.1347581396,15466.125,17096.3561226474,18319.436354802
15195.3460603351,15698.2282121019,14891.583333333301,16642.2257167368,18000.6448010193
14046.0176995885,14912.7964616387,13366.75,15493.6942293298,17226.2746419933
15388.2051035142,16123.1326088601,15190.166666666699,16836.6779889295,18447.6197421934
15810.9806976641,16604.7336604619,15726.458333333301,17260.2491286445,18940.177852706
15874.3446361496,16682.8399249363,15987.666666666699,17324.4094683737,19029.1900090332
15932.7313646137,16494.8776471004,16215.583333333301,17383.5923376551,18852.0831661835
15899.2409255366,16272.6841421204,16237.958333333301,17350.8974884561,18640.6953332365
15450.2561502513,15757.2041451792,15592.166666666699,16902.7077432256,18135.9719235271
14305.7757589855,14929.071700195,14210.166666666699,15759.0215274418,17318.5476438614
15651.5953165798,16152.8042362655,15884.458333333301,17105.6346309617,18552.9405714381
16076.6764261366,16646.5655937378,15992.625,17531.5083682457,19057.3151803747
16140.9192840095,16794.4868182853,15916.125,17596.544598632,19215.8031362259
16198.6702765762,16480.0720267168,15924.75,17655.0886007688,18911.9091622134
16162.9541965821,16203.0516007609,16028.25,17620.1648828592,18645.3642334176
15710.0922154379,15813.4126196165,15443.833333333301,17168.0946128735,18266.1560097186
14560.0356263709,14930.9601969096,13899.416666666699,16018.8287963556,17394.0901731277
15898.547300976,16447.7165523674,15707.25,17358.1305352781,18921.1894998239
16314.5712379101,16987.5977205676,16176.375,17774.9435474119,19471.3705692504
16368.0053250448,17046.856481447,16281.041666666699,17829.1673834723,19540.8866949586
16413.2089949999,16604.0187935483,16163.041666666699,17875.1603798576,19108.2643581773
16363.2353527625,15869.2815357004,16120,17825.9753652266,18383.7009498035
15894.4489141996,15427.4430596462,15626.791666666699,17357.9768590633,17951.9953233305
14726.858974177,14430.2449724182,14194.041666666699,16191.1738767888,16964.8895775114
16046.3005520319,15686.7845711931,15803.375,17511.4016740452,18231.4814914928
16441.803299621,16231.0076421302,16083.791666666699,17907.6896297927,18785.7173239214
16473.3635009613,16297.2639740063,16028.25,17940.0356902746,18861.9473268381
16495.450852194,15686.5609518296,15814.666666666699,17962.9084665463,18261.1793395421
16421.2396104062,15576.4355177535,15855.666666666699,17889.4819467152,18160.9507497462
15927.2252608352,15298.2097672595,15300.666666666699,17396.251625506,17892.5840899926
14733.5567326716,14435.8132640192,13966.375,16203.3661594867,17040.0093527406
16026.2161233539,15646.2865934976,15851.166666666699,17496.807886689,18260.2675441869
16394.3863292359,16334.0170717491,16317.208333333301,17865.759436772,18957.7463932724
16398.2217246861,16550.5987065218,16196.583333333301,17870.3768438824,19184.0403129897
16392.3535916265,16065.5929646921,16049.625,17865.2903139965,18708.7111680139
16290.1199014217,15883.1358866197,15848.416666666699,17763.8375548051,18535.8953892482
15768.1806119855,15399.2926782167,14999.958333333301,17242.678537533,18061.6585660767
14546.8485234794,14511.0769347946,13435.208333333301,16022.1257944657,17183.0146703894
15812.2676653556,15544.8864783216,14789.041666666699,17288.3235979591,18226.3618940116
16153.7796250439,15730.2115010898,15234.958333333301,17630.613272949,18421.1907925383
16131.6929722056,15877.2982267972,15402.958333333301,17609.3050448443,18577.7479465772
16100.7874917574,15878.1728396744,15450.708333333301,17579.1776297692,18588.0598910318
15974.542837997,15716.3774078704,15462.208333333301,17453.7104218784,18435.6690386392
15429.752782248,15308.8330657883,15096.416666666699,16909.6972079975,18037.4968624522
14186.855106,14410.4818657507,13664.583333333301,15667.5755048721,17148.485747647
15432.1091198655,15390.6348243193,15258.458333333301,16913.6048669181,18137.9470379808
15754.9612251418,15676.0989417776,15511.5,17237.2314356786,18432.6880554085
15715.8136772505,15776.9824313923,15545.916666666699,17198.8591174123,18542.8173294734
15669.5282684375,15599.5032257743,15592.916666666699,17153.3486411709,18374.5531037942
15529.6545450509,14560.7990912132,14319.708333333301,17014.2492953781,17345.0334505215
14973.0437335998,14778.1746697497,13855.791666666699,16458.4123230168,17571.5633125289
13720.1784281537,13687.423754922,13392,15206.3200552414,16489.936779274
14957.3500188066,15200.6926375203,14804.458333333301,16444.2641256783,18012.3004326649
15274.0242762432,15666.0438394842,15211.583333333301,16761.7100466353,18486.7170810654
15230.6102488151,15677.2201010132,15093.791666666699,16719.0685115704,18506.9297465117
15181.9641855854,15507.0066067101,15120.166666666699,16671.1947102055,18345.7238909569
15041.6180957369,15115.7128789765,15039.5,16531.6203944283,17963.409309767
14486.3941126984,14328.1135107321,14427.125,15977.1677135029,17184.7608645354
13236.7347088567,13567.7002032963,12947.125,14728.2788769103,16433.2705210597
14478.8807331318,14914.7405517653,14432.583333333301,15971.1949750454,17789.2061348087
14802.2376783466,15521.8006490016,14754.875,16295.3212416475,18405.1340550016
14767.1453261324,15616.7021888319,14723.875,16260.9990960961,18508.8762278915
14728.3824737148,15293.3498354529,14540.25,16223.006277506,18194.3375662552
14599.3963435123,14855.8687021532,14470.958333333301,16094.7897491275,17765.6434281965
14056.9178342078,14476.8052839303,14008.791666666699,15553.0804222941,17395.3405498428
12821.2926493442,13604.8289493123,12637.166666666699,14318.2237349098,16532.098537244
14078.6602658911,14645.0422947342,13896.666666666699,15576.3594006623,17581.0202208237
14418.3211399807,15003.9660855133,14272.666666666699,15916.7876129784,17948.6265964278
14400.5072880213,15281.045211529,14341.791666666699,15899.7420161406,18234.3627810759
14379.8879382996,14935.8298070568,14167.208333333301,15879.8907783375,17897.7791328639
14269.7998451712,14985.5834303843,14267.5,15770.5703898787,17956.1394306482
13746.863416149,14640.6805101155,13848.125,15248.4012648342,17619.8183204154
12531.3146801594,13645.8290297459,12634.958333333301,14033.6191608782,16633.5239999217
13809.1850522724,15154.4012566022,14065.791666666699,15312.2557223509,18150.6289476945
14169.6692856678,15271.9194250278,14532.625,15673.5054334964,18276.6556062795
14172.8967433719,15421.7927390942,14570.208333333301,15677.4992730729,18435.0133850108
14173.437680007,15154.8100902368,14700.458333333301,15678.8064313312,18176.4913777046
14084.5341216233,14847.9924911611,14557.083333333301,15590.6686634851,17878.1107966218
13582.716490763,14633.7428249542,14103.041666666699,15089.6163909594,17672.2747216343
12388.1360027387,13808.576464123,12785.541666666699,13895.8005509883,16855.4987193171
13686.7447870311,14787.3838072224,14201.541666666699,15195.1734940344,17842.6733796282
14067.6641240388,15563.4965281445,14603.291666666699,15576.8562249551,18627.1305652492
14090.9559300399,15604.6079586236,14513.875,15600.9122634209,18676.5637941397
14111.1291817633,15213.3730489554,14385.291666666699,15621.8495181668,18293.6282003051
14041.3708705838,14834.4306900585,14270.916666666699,15552.8547040251,17922.9628559055
13558.1626361783,14498.4128981445,13870.708333333301,15070.4094534484,17595.1999559717
12381.6131090067,13506.2794876862,12523.625,13894.6221141798,16611.299491419
13697.6379195263,14737.6939587547,13947.291666666699,15211.4085319671,17850.9251364278
14095.3277689396,15370.4855884874,14296.291666666699,15609.8591291633,18491.9063399547
14134.719699388,15357.590251501,14247.541666666699,15650.0125421156,18487.1791461875
14170.3032604469,15071.01162819,14407.333333333301,15686.3572534157,18208.7474028849
14115.2511677215,14855.6986443098,14378,15632.0657013023,18001.560200999
13646.0356094041,14128.4608380081,13965.541666666699,15163.6100658973,17282.4272417464
12482.7602363353,13272.319062199,12554.375,14001.0937165167,16434.36953902
13811.3397997263,14877.0441473491,13902.833333333301,15330.4316199876,18047.1580822132
14220.8678375695,15449.5076231274,14374.291666666699,15740.7170387396,18627.6645579049
14271.3875537798,15679.1853831083,14412.875,15791.9947677552,18865.3650145995
14317.3975928674,15315.817877136,14362.25,15838.7623930785,18510.0000551251
14272.0823116278,14484.4760728765,14240,15794.2040006435,17686.6407982207
13811.9277090669,14421.3518250121,13977.375,15334.8055878572,17631.4792477624
12657.0530550603,14008.9099663012,12645.625,14180.6861517271,17226.980383857
13993.3901864042,15415.457303152,14021.708333333301,15517.7777522097,18641.4511584473
14410.0508752748,16096.8168429409,14405.958333333301,15935.1918964913,19330.7147226609
14467.0974175714,16494.3874685678,14402.375,15992.9924748748,19736.1701013969
14519.0481467844,16392.4402546957,14421.291666666699,16045.6967780079,19642.0885095946
14479.1074770954,15950.3413698249,14501.041666666699,16006.5089621581,19207.836254337
14023.7816385065,15493.8781614279,14035.416666666699,15551.9352681173,18759.2008200142
12873.2101454273,14862.7934390705,12637.041666666699,14402.1149515197,18135.9251514725
14213.3449676595,16054.9738276807,13202.583333333301,15743.00021763,19335.8960073105
14633.3178084315,15864.897499476,12884.458333333301,16163.7225194044,19153.5916918328
14693.2106359745,16404.058527418,14424.666666666699,16224.3654262445,19700.5064085313
14747.5611726939,16334.841776093,14722.833333333301,16279.4656360205,19639.0251509908
14709.5929434985,15968.6369259015,14830.666666666699,16242.2464304509,19280.537727104
14255.8310434115,15547.7971502803,14440.5,15789.2329286392,18867.3974363179
13106.4336627551,14702.9132377611,12623.25,14640.5830761282,18030.1951917162
14447.3713352886,15932.4195134759,14526.583333333301,15982.2676535162,19267.3654415489
14867.7943100459,16512.5761899641,15029.666666666699,16403.4366722312,19855.1685200613
14927.8031891652,16775.8931270872,15266.666666666699,16464.1923401326,20126.1144074327
14981.9545313558,16228.2553536285,15005.791666666699,16519.0902054118,19586.0882513967
14943.4910180081,16278.1770344817,14936.583333333301,16481.3727160083,19643.6043344526
14488.9573374547,16385.2742957676,14812.791666666699,16027.5845918206,19758.2788990026
13338.5318210653,14920.0263145306,13453.833333333301,14877.9039265399,18300.5912370693
14678.2057920376,16004.3385842902,15065.666666666699,16218.32229413,19392.4469558678
15097.1510232756,16646.3738094427,15521.541666666699,16638.0112339586,20042.0088722268
15155.4904425334,16733.9380526955,15493.458333333301,16697.0952761001,20137.0831600431
15207.8037806625,16554.8030100795,15636.833333333301,16750.1531443086,19965.4416253125
15167.3577565411,16533.9483729397,15480.083333333301,16710.4513231095,19952.0640681398
