TBATS,STFL,PROPHET,PROPHETDEF,TEST,TBATS_UPPER_95%,STFL_UPPER_95%,PROPHET_UPPER_95%,PROPHETDEF_UPPER_95%
291.978023286334,311.056695735493,299.44735674506273,299.9155265512193,301,331.781230103644,333.352510849399,341.7380951475373,341.44613681333084
291.766812368854,294.732385811354,298.5181359880819,298.96775805472964,281,333.200984868039,317.34477306788,337.74013900010556,338.2407928055454
291.679528703306,286.559550485554,297.3027615009887,297.7341297492063,285,334.781357450269,309.484176180062,342.7651214314071,337.0902936704668
291.716225367403,314.276303232834,295.8299893166993,296.24364857998523,273,336.507350573908,337.509008395691,336.85623524102243,337.5651873832453
291.864726796698,294.506517391963,294.1292641929742,294.52599526985415,262,338.350157856011,318.043306372196,337.33799669197646,334.5602501980482
292.102652114486,298.833067944673,292.2304417873144,292.61124387483096,279,340.269975216656,322.670098011119,330.71998310664617,329.761431573467
292.399709001434,289.028346647176,290.1635161845584,290.5295869947567,268,342.219096364281,313.161918493431,334.03237428919726,328.72322245433793
292.720154277261,293.692892312681,287.9583548168313,288.31106869284423,268,344.145146630633,318.119441367292,329.71543398812366,326.8504125972444
293.025314243963,300.727207218163,285.6444426017597,285.985326958522,292,345.994308783626,325.443295674343,327.14569007375957,325.67224997477973
293.27605638331,281.718063785478,283.25063720731254,283.581347632254,286,347.71439704392,306.720373275522,323.1915071899207,321.60580446229307
293.435105703795,289.074110914727,280.8049369828281,281.1272313312902,252,349.257643448379,314.359435763579,322.7056746324095,320.6247137869308
293.469105325186,286.891281752284,278.3342632068068,278.64997503172043,277,350.5830756292,312.456522752719,320.21262416702604,318.7805503373874
293.350332754868,287.985032210562,275.86425803518944,276.1752696862198,263,351.658387680034,313.82719086922,315.3954919093046,315.8880873299287
293.058001003667,296.399640296075,273.41909936030254,273.7273150819522,274,352.461235396832,322.515813505545,315.3457081954474,311.59750316709085
292.579096609241,273.53780021819,271.0213336992617,271.3286530488557,268,352.979921844812,299.925175315422,310.23562753387995,312.15705189123776
291.908733367214,280.165510715772,268.69172808971206,269.0000199863413,265,353.213475967452,306.821360891534,307.7702554022108,313.7649754076869
291.050029073519,280.771079580664,266.4491416954398,266.76021939475555,260,353.171162416078,307.692759608614,308.72836652310747,307.2162490069751
290.013540484026,279.099965362519,264.31041768035766,264.6260149528598,251,352.871491681598,306.284907619851,302.7033664993329,301.52781889080694
