"ARIMA+FOURIER","TBATS","ETS+STL","TEST","ARIMA+FOURIER_UPPER_95%","TBATS_UPPER_95%","ETS+STL_UPPER_95%"
7.54185141680675,7.50166937017499,7.71676210323614,7.392,8.06614718236269,7.96678250575354,8.11544368036979
7.56273946764403,7.586058247827,7.77673117133449,7.804,8.08752656613377,8.05548683375043,8.17552059445251
7.58004292537152,7.65702470330784,7.91922956487977,7.868,8.10532089721375,8.13030634388102,8.3181268535835
7.59351118863187,7.7073352022911,7.72567684329861,7.578,8.1192795755325,8.18421933337122,8.12468202502093
7.60294920016497,7.7328500120174,7.55503370037552,8.113,8.12920754511114,8.21326457866047,7.95414681037646
7.6082202717702,7.73309881950131,7.80130235577688,7.916,8.13496811902436,8.21710011959483,8.20052343713947
7.60924806392516,7.71113193788712,7.672093088513,7.336,8.13648495901909,8.19884536153315,8.07142219213905
7.60601769139053,7.67271700060739,7.84433157475679,8.033,8.1337431811195,8.16427781187032,8.24376875936257
7.59857593878906,7.62508380095785,7.70503654769165,7.581,8.12678957120598,8.12059065885784,8.1045818798037
7.58703058303635,7.57550366647911,7.5878952061898,8.187,8.11573190744597,8.07499699959476,7.98754876014075
7.57154883243659,7.53000778759276,7.77511576538265,7.629,8.1007373993897,8.03347794163357,8.17487762330689
7.5523549050493,7.49249961876051,7.31403043859258,7.386,8.08203026633703,7.99991941639345,7.71390069042199
7.5297267813991,7.46441330854253,7.59122122428234,7.889,8.05988849004721,7.97578220478762,7.99119996774212
7.50399217855796,7.44493830774361,7.4388458856313,7.478,8.0346397888212,7.96032373087472,7.83893322623558
7.47552380390641,7.4317008492383,7.3413683917124,7.485,8.00665687126287,7.95126496716106,7.74156444276
7.44473395731204,7.42169548185811,7.27597907793634,7.387,7.97635203845759,7.94569907292081,7.67628396050644
7.41206855990063,7.41221570727104,7.66391229404139,7.276,7.94417121274338,7.94099385881831,8.0643261369893
7.37800069589961,7.40155050206163,7.45331882121734,7.613,7.91058747955434,7.93545963347215,7.85384176117001
7.34302376108548,7.38928691450475,7.50219338392303,7.704,7.87609423586821,7.9286313091076,7.9028255652748
7.30764431706453,7.3761688133188,7.48962708897988,7.788,7.84119804448707,7.92112547531923,7.89036866388803
7.27237475487646,7.36358072169982,7.30404855541258,7.64,7.80641129764098,7.91414748547082,7.70489968379304
7.23772587417167,7.35282424056893,7.36627275865611,7.552,7.77224479616535,7.90881154536515,7.76723360817891
7.20419948543645,7.34440879097223,7.10313497507416,7.992,7.7392003517261,7.90548051648063,7.50420572115904
7.17228114240559,7.33757510210861,7.1100993356143,6.845,7.7077635192324,7.90332583076063,7.51128016142624
